P.S. ? I Love You;Drama
Pacific, The;Krieg
Pakt der Wîlfe (Brotherhood of the Wolf);Fantasy
Pakt, Der (The Couvenant);Horror
Parfum, Das;Drama
Password Swordfish;Crime
P.S. ? Liebe auf Anfang;Drama
Pate I (The Godfather);Drama
Pate II (The Godfather: Part II);Drama
Pate III (The Godfather: Part III);Drama
Paycheck;Sci-Fi
Pearl Harbor;Krieg
Percy Jackson - Diebe im Olymp;Fantasy
Perfect Man, The;Liebe
Perfect World;Drama
Patton;Krieg
Perfekte Verbrechen, Das (Fracture);Crime
Peter Pan (Walt Disney);Animation
Pinocchio;Animation
Pirates of the Caribbean I: The Curse of the Black Pearl;Fantasy
Pirates of the Caribbean II: Dead Man's Chest;Fantasy
Pirates of the Caribbean III: At World's End;Fantasy
Pirates of the Caribbean IV: Fremde Gezeiten;Fantasy
Pitch Black;Sci-Fi
Planes;Animation
Platoon;Krieg
Pledge, The;Crime
Plîtzlich Prinzessin;Teenagers
Plîtzlich Prinzessin 2;Teenagers
Pocahontas;Animation
Polar Express;Animation
Poseidon;Action
Prestige, The;Drama
Prince & Me, The;Teenagers
Princess of Thieves (Gwyn);Action
Prinzessin Fantaghiro;Fantasy
Prometheus;Sci-Fi
Prophezeiung, Die;Horror
Pulp Fiction;Crime
R;Genre
Rapunzel;Animation
Ratatouille;Animation
Reader, The (Der Vorleser);Drama
Rambo IV;Action
Red Planet;Sci-Fi
Reservoir Dogs;Crime
Resident Evil;Horror
Resident Evil: Apocalypse;Horror
Resident Evil: Extinction;Horror
Rezept zum Verlieben (No Reservations);Komîdie
Riddick - The Chronicles of Riddick;Sci-Fi
Rio;Animation
Ritter und Burgen (WAS IST WAS);Doku
Robin Hood;Animation
Robin Hood: Prince of Thieves;Historical
Robots;Animation
ROM - 1. Staffel;Historical
Romeo + Juliet;Drama
Ronin;Action
Rubinrot;Fantasy
S;Genre
S.W.A.T.;Action
Safe House;Crime
Sahara;Action
SandmÑnnchen - FrÅhlingstrÑume;Animation
SandmÑnnchen - Gute Nacht;Animation
SandmÑnnchen - Gute Nacht Geschichten;Animation
SandmÑnnchen - Wintergeschichten;Animation
Saving Private Ryan;Krieg
Scharlachrote Buchstabe, Der (Scarlet Letter);Historical
Schatz zum Verlieben, Ein (Fool's Gold);Komîdie
Schatten einer Liebe (To Gillian on Her 37th Birthday);Drama
Schatzinsel, Die (PRO7);Action
Schatzplanet, Der;Animation
Schindler's List;Drama
Schneeweisschen und Rosenrot;TV-Serie
Schneewittchen und die sieben Zwerge;Animation
Schîne und das Biest, Die;Animation
Schuh des Manitu, Der;Deutscher Film
Schwanenprinzessin, Die;Animation
Schwerter des Kînigs (Dungeon Siege Tale);Fantasy
Schwester der Kînigin, Die;Drama
Score, The;Crime
Se7en;Crime
Seide (Silk);Drama
Selbst ist die Braut (The Proposal);Komîdie
Sennentuntschi;Schweizer Film
Sentinel, The;Action
Shaft;Crime
Shooter;Drama
Shrek;Animation
Shrek 2;Animation
Shutter Island;Drama
Sideways;Komîdie
Sieben Leben (Seven Pounds);Drama
Sin City;Crime
Signs;Sci-Fi
Silent Hill;Horror
Sinn & Sinnlichkeit (Sense and Sensibility);Drama
Sissi;Heimatfilm
Sissi, die junge Kaiserin;Heimatfilm
Sissi, Schicksalsjahre einer Kaiserin;Heimatfilm
Sixth Sense;Horror
Sky High;Teenagers
Sleepers;Drama
Sleeping Dictionary (Selima & John);Liebe
Sliding Doors;Liebe
Slumdog Millionaire;Drama
Snatch;Komîdie
Snow Falling on Cedars;Drama
Snow White and the Huntsman;Fantasy
Snowpiercer;Sci-Fi
So was wie Liebe (A Lot Like Love);Liebe
Social Network, The;Drama
Solange du da bist (Just Like Heaven);Liebe
Speed;Action
Speed 2: Cruise Control;Action
Spider-Man;Fantasy
Sphere;Horror
Spider;Drama
Spider-Man 2;Fantasy
Spider-Man 3;Fantasy
Spiel mir das Lied vom Tod;Drama
Spurenwechsel (Changing Lanes);Action
Stalingrad;Krieg
Star Wars I - The Phantom Menace;Sci-Fi
Star Wars II - Attack of the Clones;Sci-Fi
Star Wars III - Revenge of the Sith;Sci-Fi
Star Wars IV - A New Hope;Sci-Fi
Star Wars V - The Empire Strikes Back;Sci-Fi
Star Wars VI - Return of the Jedi;Sci-Fi
Statement, The;Drama
Starsky & Hutch;Komîdie
Stay;Drama
Step up;Drama
Sternwanderer, Der (Stardust);Fantasy
Stolz & Vorurteil (Pride & Prejudice);Liebe
Streben nach GlÅck (Pursuit of Happyness);Drama
Stumme Zeugin (Mute Witness);Crime
Super 8;Sci-Fi
Superman - The New Adventures of ?(I);Fantasy
Superman - The New Adventures of ?(II);Fantasy
Susi und Strolch;Animation
Sweet Home Alabama;Liebe
Syriana;Crime
T;Genre
Tag des Falken, Der (Ladyhawke);Fantasy
Tarzan 2;Animation
Taking Lives;Crime
TatsÑchlich?Liebe (Love Actually);Liebe
Tears of the Sun;Krieg
Terminal, The;Komîdie
Terminator;Sci-Fi
Terminator 2: Judgment Day;Sci-Fi
Terminator 3: Rise of the Machines;Sci-Fi
Teufel trÑgt Prada, Der (Devil Wears Prada);Komîdie
Thelma & Louise;Drama
Thin Red Line;Krieg
Third Wave (Die Verschwîrung);Crime
Thirteen Days;Action
Tierisch Wild (Over the Hedge);Animation
Tigerland;Krieg
Tim und Struppi;Animation
Timeline;Sci-Fi
Tinker Bell: Secret of the Wings;Animation
Tinker Bell: The Great Dairy Rescue;Animation
Tintenherz (Inkheart);Fantasy
Titanic;Drama
TollkÅhne Hexe in ihrem fliegenden Bett, Die;Animation
Tomb Raider (Lara Croft);Fantasy
Traffic;Crime
Training Day;Crime
Trainspotting;Drama
TRaumschiff Surprise - Periode I;Deutscher Film
Tribute von Panem (The Hunger Games);Action
Tribute von Panem II (Catching Fire);Action
Tricks (Matchstick Men);Crime
Tristan & Isolde;Historical
Tropic Thunder;Komîdie
Troy;Historical
Twilight - Biss zum Morgengrauen;Fantasy
Twilight II - Biss zur Mittagsstunde;Fantasy
Twilight III - Biss zum Abendrot;Fantasy
Twilight IV - Biss zum Ende der Nacht;Fantasy
U;Genre
U-571;Krieg
Ultraviolet;Sci-Fi
Unbarmherzigen Schwestern, Die (Magdalene Sisters);Drama
Unbequeme Wahrheit, Eine;Doku
Unbreakable;Sci-Fi
Under the Tuscan Sun;Komîdie
Underworld I;Fantasy
Underworld II: Evolution;Fantasy
Underworld III: Aufstand der Lykaner;Fantasy
Unglaublichen, Die (Incredibles);Animation
Unleashed;Action
Untergang der Estonia (Baltic Storm);Doku
Untergang, Der;Krieg
V;Genre
V for Vendetta;Action
Van Helsing;Fantasy
Vanity Fair;Drama
Verbotene SchlÅssel, Der;Horror
Verdingbub, Der;Drama
Vergessenen, Die (The Forgotten);Drama
Verliebt in Berlin;Teenagers
Vier Federn, Die (The Four Feathers);Drama
Village, The;Horror
Vitus;Drama
Von Lîwen und LÑmmern (Lions for Lambs);Krieg
Vorahnung, Die (Premonition);Drama
W;Genre
Wag the Dog;Komîdie
Wall-E;Animation
Wallace & Gromit;Animation
We Were Soldiers;Krieg
Wedding Date, The;Liebe
When Trumpets Fade;Krieg
While You Were Sleeping;Liebe
White House Down;Action
White Men Can't Jump;Komîdie
White Oleander;Drama
Wickie und die starken MÑnner;Animation
Wie werde ich ihn los - in 10 Tagen?;Liebe
Wimbledon;Liebe
Windtalkers;Krieg
Winnie Puuh - Die kleinen Entdecker;Animation
Winnie Puuh - Lustige Jahreszeiten im Hundertmorgenwald;Animation
Wintersonnenwende;Fantasy
Wir sind die Millers (We are the Millers);Komîdie
Wo die Liebe hinfÑllt ? (Rumor Has It ?);Liebe
Woman in Black, The;Horror
World Trade Center;Drama
World War Z;Sci-Fi
Wunder von Bern, Das;Deutscher Film
X;Genre
xXx;Action
Y;Genre
Yamakasi;Action
